Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0805_2012Metric,122.0724,-84.836,90.0,top
C10,100n,C_0805_2012Metric,92.71,-90.932,0.0,top
C11,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,112.268,-149.86,-90.0,top
C12,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,127.0,-149.606,90.0,top
C13,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,112.268,-145.542,90.0,top
C14,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,127.0,-145.288,-90.0,top
C147,100n,C_0805_2012Metric,181.61,-102.87,-90.0,top
C15,100n,C_0805_2012Metric,92.71,-78.486,0.0,top
C150,100n,C_0805_2012Metric,181.61,-111.76,-90.0,top
C16,100n,C_0805_2012Metric,123.698,-75.438,-90.0,top
C17,100n,C_0805_2012Metric,100.076,-75.438,-90.0,top
C171,51pF,C_0805_2012Metric,168.656,-74.676,180.0,top
C172,360p,C_0805_2012Metric,170.18,-71.12,0.0,top
C18,100n,C_0805_2012Metric,122.428,-139.192,180.0,top
C19,100n,C_0805_2012Metric,129.286,-136.144,180.0,top
C2,100n,C_0805_2012Metric,84.582,-149.098,0.0,top
C20,100n,C_0805_2012Metric,92.71,-104.14,0.0,top
C21,100n,C_0805_2012Metric,138.43,-75.504,-90.0,top
C22,100n,C_0805_2012Metric,138.43,-102.616,0.0,top
C23,100n,C_0805_2012Metric,110.998,-75.438,-90.0,top
C24,100n,C_0805_2012Metric,89.916,-123.698,0.0,top
C25,100n,C_0805_2012Metric,163.4032,-94.488,180.0,top
C26,100n,C_0805_2012Metric,173.609,-72.136,180.0,top
C27,100n,C_0805_2012Metric,105.664,-102.362,180.0,top
C28,100n,C_0805_2012Metric,120.904,-117.9068,-90.0,top
C29,100n,C_0805_2012Metric,105.664,-93.726,180.0,top
C3,100n,C_0805_2012Metric,84.582,-128.524,0.0,top
C30,100n,C_0805_2012Metric,105.664,-100.33,180.0,top
C31,100n,C_0805_2012Metric,105.664,-110.49,180.0,top
C32,100n,C_0805_2012Metric,115.824,-84.836,90.0,top
C33,100n,C_0805_2012Metric,125.476,-84.582,90.0,top
C34,100n,C_0805_2012Metric,138.43,-94.488,0.0,top
C35,100n,C_0805_2012Metric,119.634,-84.836,90.0,top
C36,100n,C_0805_2012Metric,138.43,-100.584,0.0,top
C37,100n,C_0805_2012Metric,138.43,-108.712,0.0,top
C38,100n,C_0805_2012Metric,115.824,-117.856,-90.0,top
C39,100n,C_0805_2012Metric,123.444,-117.856,-90.0,top
C4,22u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,101.6,-140.208,0.0,top
C40,100n,C_0805_2012Metric,127.0,-117.856,-90.0,top
C41,100n,C_0805_2012Metric,181.864,-93.472,-90.0,top
C5,22u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,95.758,-145.796,90.0,top
C6,22u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,107.95,-145.796,90.0,top
C7,22u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,84.582,-132.334,0.0,top
C8,47u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,84.582,-145.796,0.0,top
C9,100n,C_0805_2012Metric,151.8,-75.8,-90.0,top
D12,1N4448,D_SOD-123,194.818,-92.964,90.0,top
D15,1N4448,D_SOD-123,197.866,-92.964,90.0,top
D16,1N4448,D_SOD-123,194.818,-98.552,90.0,top
D47,1N4448,D_SOD-123,197.866,-98.552,90.0,top
IC16,74LVC8T245SO24,TSSOP-24_4.4x7.8mm_P0.65mm,92.71,-114.046,90.0,top
J1,DIN-6,DIN6PIEC,219.202,-105.41,90.0,top
J11,Conn_01x09,PinHeader_1x09_P2.54mm_Vertical,105.41,-135.89,90.0,top
J12,Conn_01x09,PinHeader_1x09_P2.54mm_Vertical,105.41,-131.318,90.0,top
J2,Conn_01x23,PinSocket_1x23_P2.54mm_Vertical,140.815,-67.175,90.0,top
J3,New_PET_keyboard_connector,IDC-Header_2x10_P2.54mm_Vertical,211.1175,-72.4,0.0,top
J4,Conn_01x02,PinHeader_1x02_P2.54mm_Horizontal,223.52,-119.375,0.0,top
JP1,JP1E,JP1,95.25,-125.984,90.0,top
P1,PETUSERPORT,FLAT24_IDC,166.37,-133.858,-90.0,top
P2,IEEE488FLATCABLE,FLAT24_IDC,222.758,-74.93,-90.0,top
P4,CSABUS,CSABUS,74.86515,-105.0036,180.0,top
P5,CBMTAPE,JP6,196.8512,-111.0,90.0,top
P8,~,PinHeader_1x20_P2.54mm_Vertical,163.405,-60.0,90.0,top
P9,~,IDC-Header_2x05_P2.54mm_Vertical,204.4605,-108.458,180.0,top
R1,4k7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,100.076,-125.222,-90.0,top
R10,4k7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,183.134,-90.17,0.0,top
R2,330,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,121.92,-135.89,180.0,top
R3,4k7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,168.2292,-93.98,-90.0,top
R4,330,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,131.318,-118.11,90.0,top
R47,4k7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,134.366,-85.344,-90.0,top
R48,4k7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,112.268,-71.374,0.0,top
R5,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,101.346,-150.622,0.0,top
R6,10,0207_10,187.3,-151.4,0.0,top
R68,1M,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,173.3804,-67.818,0.0,top
