Comment,Designator,Footprint,LCSC,Quantity
10,R6,0207_10,C2149605,1
100n,"C1,C10,C147,C15,C150,C16,C17,C18,C19,C2,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C3,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C9",C_0805_2012Metric,C49678,34
10k,R5,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C25804,1
10k,"RN1,RN2,RN3,RN4,RN5",R_Array_SIP9,C8692,5
18.432MHz,X1,Oscillator_SMD_SeikoEpson_SG8002CE-4Pin_3.2x2.5mm,C7434931,1
1M,"R68,R69",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C22935,2
1N4448,"D12,D15,D16,D47",D_SOD-123,C81598,4
1u,"C11,C12,C13,C14",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28323,4
22u,"C4,C5,C6,C7",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C45783,4
330,"R2,R4,R7,R8",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C23138,4
360p,C172,C_0805_2012Metric,C28167,1
4051,"U12,U13",SOP-16_3.9x9.9mm_P1.27mm,C507180,2
47k,R70,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C25819,1
47u,C8,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C16780,1
4k7,RN6,R_Array_SIP5,C11392,1
4k7,"R1,R10,R3,R47,R48,R9",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C23162,6
51pF,C171,C_0805_2012Metric,C5375853,1
74LS06,"U10,U14",SO-14_3.9x8.65mm_P1.27mm,C513512,2
74LVC165,U24,TSSOP-16_4.4x5mm_P0.65mm,C41558098,1
74LVC1G00,U23,SOT-353_SC-70-5_Handsoldering,C8185,1
74LVC1G125,"U21,U22",SOT-353_SC-70-5,C12519,2
74LVC8T245SO24,IC16,TSSOP-24_4.4x7.8mm_P0.65mm,C27643,1
ADM560,U15,SSOP-28_5.3x10.2mm_P0.65mm,C658278,1
AP2132BB,UX16,Diodes_PSOP-8,C338874,1
CBMTAPE,P5,JP6,C492405,1
CD4053B,"U26,U27",SOIC-16_3.9x9.9mm_P1.27mm,C6742,2
CSABUS,P4,CSABUS,C5173362,1
Conn_01x02,J4,PinHeader_1x02_P2.54mm_Horizontal,C492401,1
Conn_01x09,"J11,J12",PinHeader_1x09_P2.54mm_Vertical,C492408,2
Conn_01x23,J2,PinSocket_1x23_P2.54mm_Vertical,C7430379,1
DIN-6,J1,DIN6PIEC,C54573054,1
IEEE488FLATCABLE,P2,FLAT24_IDC,C5157635,1
JP1E,JP1,JP1,C492401,1
LDI1117,UX17,SOT-223,C6186,1
LSF0204Q,"U16,U17,U18,U19,U6,U7,U8,U9",TSSOP-14_4.4x5mm_P0.65mm,C2677502,8
M09-182,"X7,X8",DSUB-9_Pins_Vertical_P2.77x2.84mm_MountingHoles,C189688,2
M09HPS,X3,DSUB-9_Pins_Horizontal_P2.77x2.84mm_EdgePinOffset9.90mm_Housed_MountingHolesOffset11.32mm,C19077344,1
NE555D,U25,SOIC-8_3.9x4.9mm_P1.27mm,C7593,1
New_PET_keyboard_connector,J3,IDC-Header_2x10_P2.54mm_Vertical,C3405,1
PETUSERPORT,P1,FLAT24_IDC,C5157635,1
SN74LVC245APW,"U11,U2,U3",TSSOP-20_4.4x6.5mm_P0.65mm,C7848,3
SN75160BDW,U4,SOIC-20W_7.5x12.8mm_P1.27mm,C882412,1
SN75161BDW,U5,SOIC-20W_7.5x12.8mm_P1.27mm,C2671348,1
SPIFLASH,UX18,DIP-8_W7.62mm_Socket_LongPads,C72124,1
XC6SLX9-TQG144,U1,TQFP-144_20x20mm_P0.5mm,C27408,1
XILINXPROG,UX7,IDC-Header_2x05_P2.54mm_Vertical,C5665,1
~,P8,PinHeader_1x20_P2.54mm_Vertical,C25687202,1
~,P9,IDC-Header_2x05_P2.54mm_Vertical,C5665,1
~,U20,IDC-Header_2x13_P2.54mm_Vertical,C7501247,1
